00AR               20181129                                                                                   
0601ARA0N       20190101001865100000005000 0000038320002052   
0601ARA0N       20190101001870100000005000 0000038460002054   
0601ARA0N       20190101001875100000005000 0000038620002057   
0601ARA0N       20190101001880100000005000 0000038770002059   
0601ARA0N       20190101001885100000005000 0000038910002061   
0601ARA0N       20190101001890100000005000 0000039070002064   
0601ARA0N       20190101001895100000005000 0000039220002067   
0601ARA0N       20190101001900100000005000 0000039360002069   
0601ARA0N       20190101001905100000005000 0000039520002072   
0601ARA0N       20190101001910100000005000 0000039670002074   
0601ARA0N       20190101001915100000005000 0000039810002076   
0601ARA0N       20190101001920100000005000 0000039970002079   
0601ARA0N       20190101001925100000005000 0000040130002082   
0601ARA0N       20190101001930100000005000 0000040270002084   
0601ARA0N       20190101001935100000005000 0000040430002086   
0601ARA0N       20190101001940100000005000 0000040580002089   
0601ARA0N       20190101001945100000005000 0000040720002091   
0601ARA0N       20190101001950100000005000 0000040880002094   
0601ARA0N       20190101001955100000005000 0000041030002096   
0601ARA0N       20190101001960100000005000 0000041170002098   
0601ARA0N       20190101001965100000005000 0000041330002101   
0601ARA0N       20190101001970100000005000 0000041480002103   
0601ARA0N       20190101001975100000005000 0000041620002105   
0601ARA0N       20190101001980100000005000 0000041780002108   
0601ARA0N       20190101001985100000005000 0000041940002110   
0601ARA0N       20190101001990100000005000 0000042080002112   
0601ARA0N       20190101001995100000005000 0000042240002114   
0601ARA0N       20190101002000100000005000 0000042390002117   
0601ARA0N       20190101002005100000005000 0000042530002118   
0601ARA0N       20190101002010100000005000 0000042690002121   
0601ARA0N       20190101002015100000005000 0000042840002123   
0601ARA0N       20190101002020100000005000 0000042980002125   
0601ARA0N       20190101002025100000005000 0000043140002128   
0601ARA0N       20190101002030100000005000 0000043290002130   
0601ARA0N       20190101002035100000005000 0000043430002132   
0601ARA0N       20190101002040100000005000 0000043590002134   
0601ARA0N       20190101002045100000005000 0000043740002136   
0601ARA0N       20190101002050100000005000 0000043890002138   
0601ARA0N       20190101002055100000005000 0000044050002141   
0601ARA0N       20190101002060100000005000 0000044200002143   
0601ARA0N       20190101002065100000005000 0000044340002145   
0601ARA0N       20190101002070100000005000 0000044500002147   
0601ARA0N       20190101002075100000005000 0000044650002149   
0601ARA0N       20190101002080100000005000 0000044790002151   
0601ARA0N       20190101002085100000005000 0000044950002153   
0601ARA0N       20190101002090100000005000 0000045100002155   
0601ARA0N       20190101002095100000005000 0000045240002157   
0601ARA0N       20190101002100100000005000 0000045400002159   
0601ARA0N       20190101002105100000005000 0000045550002162   
0601ARA0N       20190101002110100000005000 0000045700002163   
0601ARA0N       20190101002115100000005000 0000045850002166   
0601ARA0N       20190101002120100000005000 0000046010002168   
0601ARA0N       20190101002125100000005000 0000046150002169   
0601ARA0N       20190101002130100000005000 0000046310002171   
0601ARA0N       20190101002135100000005000 0000046460002174   
0601ARA0N       20190101002140100000005000 0000046600002175   
0601ARA0N       20190101002145100000005000 0000046760002177   
0601ARA0N       20190101002150100000005000 0000046910002179   
0601ARA0N       20190101002155100000005000 0000047050002181   
0601ARA0N       20190101002160100000005000 0000047210002183   
0601ARA0N       20190101002165100000005000 0000047360002185   
0601ARA0N       20190101002170100000005000 0000047510002187   
0601ARA0N       20190101002175100000005000 0000047660002189   
0601ARA0N       20190101002180100000005000 0000047820002191   
0601ARA0N       20190101002185100000005000 0000047960002192   
0601ARA0N       20190101002190100000005000 0000048120002195   
0601ARA0N       20190101002195100000005000 0000048270002197   
0601ARA0N       20190101002200100000005000 0000048410002198   
0601ARA0N       20190101002205100000005000 0000048570002200   
0601ARA0N       20190101002210100000005000 0000048720002202   
0601ARA0N       20190101002215100000005000 0000048860002204   
0601ARA0N       20190101002220100000005000 0000049020002206   
0601ARA0N       20190101002225100000005000 0000049170002208   
0601ARA0N       20190101002230100000005000 0000049320002209   
0601ARA0N       20190101002235100000005000 0000049470002211   
0601ARA0N       20190101002240100000005000 0000049630002213   
0601ARA0N       20190101002245100000005000 0000049770002214   
0601ARA0N       20190101002250100000005000 0000049930002217   
0601ARA0N       20190101002255100000005000 0000050080002218   
0601ARA0N       20190101002260100000005000 0000050220002220   
0601ARA0N       20190101002265100000005000 0000050380002222   
0601ARA0N       20190101002270100000005000 0000050520002223   
0601ARA0N       20190101002275100000005000 0000050670002225   
0601ARA0N       20190101002280100000005000 0000050830002227   
0601ARA0N       20190101002285100000005000 0000050970002228   
0601ARA0N       20190101002290100000005000 0000051130002230   
0601ARA0N       20190101002295100000005000 0000051280002232   
0601ARA0N       20190101002300100000005000 0000051430002233   
0601ARA0N       20190101002305100000005000 0000051580002235   
0601ARA0N       20190101002310100000005000 0000051740002237   
0601ARA0N       20190101002315100000005000 0000051880002239   
0601ARA0N       20190101002320100000005000 0000052030002240   
0601ARA0N       20190101002325100000005000 0000052190002242   
0601ARA0N       20190101002330100000005000 0000052330002244   
0601ARA0N       20190101002335100000005000 0000052480002245   
0601ARA0N       20190101002340100000005000 0000052640002247   
0601ARA0N       20190101002345100000005000 0000052780002248   
0601ARA0N       20190101002350100000005000 0000052940002250   
0601ARA0N       20190101002355100000005000 0000053090002252   
0601ARA0N       20190101002360100000005000 0000053240002253   
0601ARA0N       20190101002365100000005000 0000053390002255   
0601ARA0N       20190101002370100000005000 0000053550002257   
0601ARA0N       20190101002375100000005000 0000053690002258   
0601ARA0N       20190101002380100000005000 0000053840002260   
0601ARA0N       20190101002385100000005000 0000054000002262   
0601ARA0N       20190101002390100000005000 0000054140002263   
0601ARA0N       20190101002395100000005000 0000054290002265   
0601ARA0N       20190101002400100000005000 0000054450002266   
0601ARA0N       20190101002405100000005000 0000054590002268   
0601ARA0N       20190101002410100000005000 0000054750002269   
0601ARA0N       20190101002415100000005000 0000054900002271   
0601ARA0N       20190101002420100000005000 0000055050002272   
0601ARA0N       20190101002425100000005000 0000055200002274   
0601ARA0N       20190101002430100000005000 0000055360002276   
0601ARA0N       20190101002435100000005000 0000055500002277   
0601ARA0N       20190101002440100000005000 0000055650002278   
0601ARA0N       20190101002445100000005000 0000055810002280   
0601ARA0N       20190101002450100000005000 0000055940002281   
0601ARA0N       20190101002455100000005000 0000056090002282   
0601ARA0N       20190101002460100000005000 0000056230002284   
0601ARA0N       20190101002465100000005000 0000056370002284   
0601ARA0N       20190101002470100000005000 0000056510002286   
0601ARA0N       20190101002475100000005000 0000056660002287   
0601ARA0N       20190101002480100000005000 0000056790002288   
0601ARA0N       20190101002485100000005000 0000056930002289   
0601ARA0N       20190101002490100000005000 0000057080002290   
0601ARA0N       20190101002495100000005000 0000057210002291   
0601ARA0N       20190101002500100000500000 0000064350002340   
0601ARA0N       20190101003000100000500000 0000078470002415   
0601ARA0N       20190101003500100000500000 0000092610002470   
0601ARA0N       20190101004000100000500000 0000106730002511   
0601ARA0N       20190101004500100000500000 0000120850002544   
0601ARA1N       20190101000000100000115000 0100000030000026   
0601ARA1N       20190101000115100000005000 0100000030000026   
0601ARA1N       20190101000120100000005000 0100000030000024   
0601ARA1N       20190101000125100000005000 0100000030000024   
0601ARA1N       20190101000130100000005000 0100000030000023   
0601ARA1N       20190101000135100000005000 0100000030000022   
0601ARA1N       20190101000140100000005000 0100000030000021   
0601ARA1N       20190101000145100000005000 0100000030000020   
0601ARA1N       20190101000150100000005000 0100000030000020   
0601ARA1N       20190101000155100000005000 0100000030000019   
0601ARA1N       20190101000160100000005000 0100000030000018   
0601ARA1N       20190101000165100000005000 0100000030000018   
0601ARA1N       20190101000170100000005000 0100000030000017   
0601ARA1N       20190101000175100000005000 0100000030000017   
0601ARA1N       20190101000180100000005000 0100000030000016   
0601ARA1N       20190101000185100000005000 0100000030000016   
0601ARA1N       20190101000190100000005000 0100000030000016   
0601ARA1N       20190101000195100000005000 0100000030000015   
0601ARA1N       20190101000200100000005000 0100000030000015   
0601ARA1N       20190101000205100000005000 0100000030000014   
0601ARA1N       20190101000210100000005000 0100000040000019   
0601ARA1N       20190101000215100000005000 0100000060000029   
0601ARA1N       20190101000220100000005000 0100000090000042   
0601ARA1N       20190101000225100000005000 0100000120000055   
0601ARA1N       20190101000230100000005000 0100000160000068   
0601ARA1N       20190101000235100000005000 0100000210000086   
0601ARA1N       20190101000240100000005000 0100000250000104   
0601ARA1N       20190101000245100000005000 0100000300000120   
