00BS               20190214                                                                                   
0601BSA0N       20190101007750100000050000 0000000000003156   
0601BSA0N       20190101007800100000050000 0000000000003157   
0601BSA0N       20190101007850100000050000 0000000000003158   
0601BSA0N       20190101007900100000050000 0000000000003159   
0601BSA0N       20190101007950100000050000 0000000000003160   
0601BSA0N       20190101008000100000050000 0000000000003161   
0601BSA0N       20190101008050100000050000 0000000000003162   
0601BSA0N       20190101008100100000050000 0000000000003163   
0601BSA0N       20190101008150100000050000 0000000000003164   
0601BSA0N       20190101008200100000050000 0000000000003165   
0601BSA0N       20190101008250100000050000 0000000000003167   
0601BSA0N       20190101008300100000050000 0000000000003167   
0601BSA0N       20190101008350100000050000 0000000000003168   
0601BSA0N       20190101008400100000050000 0000000000003170   
0601BSA0N       20190101008450100000050000 0000000000003170   
0601BSA0N       20190101008500100000050000 0000000000003171   
0601BSA0N       20190101008550100000050000 0000000000003172   
0601BSA0N       20190101008600100000050000 0000000000003173   
0601BSA0N       20190101008650100000050000 0000000000003174   
0601BSA0N       20190101008700100000050000 0000000000003175   
0601BSA0N       20190101008750100000050000 0000000000003176   
0601BSA0N       20190101008800100000050000 0000000000003177   
0601BSA0N       20190101008850100000050000 0000000000003178   
0601BSA0N       20190101008900100000050000 0000000000003179   
0601BSA0N       20190101008950100000050000 0000000000003179   
0601BSA0N       20190101009000100000050000 0000000000003180   
0601BSA0N       20190101009050100000050000 0000000000003181   
0601BSA0N       20190101009100100000050000 0000000000003182   
0601BSA0N       20190101009150100000050000 0000000000003183   
0601BSA0N       20190101009200100000050000 0000000000003184   
0601BSA0N       20190101009250100000050000 0000000000003184   
0601BSA0N       20190101009300100000050000 0000000000003185   
0601BSA0N       20190101009350100000050000 0000000000003186   
0601BSA0N       20190101009400100000050000 0000000000003187   
0601BSA0N       20190101009450100000050000 0000000000003187   
0601BSA0N       20190101009500100000050000 0000000000003188   
0601BSA0N       20190101009550100000050000 0000000000003189   
0601BSA0N       20190101009600100000050000 0000000000003190   
0601BSA0N       20190101009650100000050000 0000000000003191   
0601BSA0N       20190101009700100000050000 0000000000003191   
0601BSA0N       20190101009750100000050000 0000000000003192   
0601BSA0N       20190101009800100000050000 0000000000003193   
0601BSA0N       20190101009850100000050000 0000000000003193   
0601BSA0N       20190101009900100000050000 0000000000003194   
0601BSA0N       20190101009950100000050000 0000000000003195   
0601BSA0N       20190101010000100000100000 0000000000003196   
0601BSA0N       20190101010100100000100000 0000000000003197   
0601BSA0N       20190101010200100000100000 0000000000003198   
0601BSA0N       20190101010300100000100000 0000000000003200   
0601BSA0N       20190101010400100000100000 0000000000003201   
0601BSA0N       20190101010500100000100000 0000000000003202   
0601BSA0N       20190101010600100000100000 0000000000003204   
0601BSA0N       20190101010700100000100000 0000000000003205   
0601BSA0N       20190101010800100000100000 0000000000003206   
0601BSA0N       20190101010900100000100000 0000000000003207   
0601BSA0N       20190101011000100000100000 0000000000003208   
0601BSA0N       20190101011100100000100000 0000000000003209   
0601BSA0N       20190101011200100000100000 0000000000003210   
0601BSA0N       20190101011300100000100000 0000000000003211   
0601BSA0N       20190101011400100000100000 0000000000003213   
0601BSA0N       20190101011500100000100000 0000000000003213   
0601BSA0N       20190101011600100000100000 0000000000003215   
0601BSA0N       20190101011700100000100000 0000000000003216   
0601BSA0N       20190101011800100000100000 0000000000003217   
0601BSA0N       20190101011900100000100000 0000000000003218   
0601BSA0N       20190101012000100000100000 0000000000003219   
0601BSA0N       20190101012100100000100000 0000000000003219   
0601BSA0N       20190101012200100000100000 0000000000003220   
0601BSA0N       20190101012300100000100000 0000000000003221   
0601BSA0N       20190101012400100000100000 0000000000003222   
0601BSA0N       20190101012500100000100000 0000000000003223   
0601BSA0N       20190101012600100000100000 0000000000003224   
0601BSA0N       20190101012700100000100000 0000000000003225   
0601BSA0N       20190101012800100000100000 0000000000003226   
0601BSA0N       20190101012900100000100000 0000000000003227   
0601BSA0N       20190101013000100000100000 0000000000003227   
0601BSA0N       20190101013100100000100000 0000000000003228   
0601BSA0N       20190101013200100000100000 0000000000003229   
0601BSA0N       20190101013300100000100000 0000000000003230   
0601BSA0N       20190101013400100000100000 0000000000003230   
0601BSA0N       20190101013500100000100000 0000000000003231   
0601BSA0N       20190101013600100000100000 0000000000003232   
0601BSA0N       20190101013700100000100000 0000000000003233   
0601BSA0N       20190101013800100000100000 0000000000003233   
0601BSA0N       20190101013900100000100000 0000000000003234   
0601BSA0N       20190101014000100000100000 0000000000003235   
0601BSA0N       20190101014100100000100000 0000000000003235   
0601BSA0N       20190101014200100000100000 0000000000003236   
0601BSA0N       20190101014300100000100000 0000000000003237   
0601BSA0N       20190101014400100000100000 0000000000003237   
0601BSA0N       20190101014500100000100000 0000000000003238   
0601BSA0N       20190101014600100000100000 0000000000003239   
0601BSA0N       20190101014700100000100000 0000000000003239   
0601BSA0N       20190101014800100000100000 0000000000003240   
0601BSA0N       20190101014900100000100000 0000000000003241   
0601BSA0N       20190101015000100000100000 0000000000003241   
0601BSA0N       20190101015100100000100000 0000000000003242   
0601BSA0N       20190101015200100000100000 0000000000003242   
0601BSA0N       20190101015300100000100000 0000000000003243   
0601BSA0N       20190101015400100000100000 0000000000003244   
0601BSA0N       20190101015500100000100000 0000000000003244   
0601BSA0N       20190101015600100000100000 0000000000003245   
0601BSA0N       20190101015700100000100000 0000000000003245   
0601BSA0N       20190101015800100000100000 0000000000003246   
0601BSA0N       20190101015900100000100000 0000000000003246   
0601BSA0N       20190101016000100000100000 0000000000003247   
0601BSA0N       20190101016100100000100000 0000000000003247   
0601BSA0N       20190101016200100000100000 0000000000003248   
0601BSA0N       20190101016300100000100000 0000000000003249   
0601BSA0N       20190101016400100000100000 0000000000003249   
0601BSA0N       20190101016500100000100000 0000000000003250   
0601BSA0N       20190101016600100000100000 0000000000003250   
0601BSA0N       20190101016700100000100000 0000000000003251   
0601BSA0N       20190101016800100000100000 0000000000003251   
0601BSA0N       20190101016900100000100000 0000000000003252   
0601BSA0N       20190101017000100000100000 0000000000003252   
0601BSA0N       20190101017100100000100000 0000000000003253   
0601BSA0N       20190101017200100000100000 0000000000003253   
0601BSA0N       20190101017300100000100000 0000000000003253   
0601BSA0N       20190101017400100000100000 0000000000003254   
0601BSA0N       20190101017500100000100000 0000000000003254   
0601BSA0N       20190101017600100000100000 0000000000003255   
0601BSA0N       20190101017700100000100000 0000000000003255   
0601BSA0N       20190101017800100000100000 0000000000003256   
0601BSA0N       20190101017900100000100000 0000000000003256   
0601BSA0N       20190101018000100000100000 0000000000003257   
0601BSA0N       20190101018100100000100000 0000000000003257   
0601BSA0N       20190101018200100000100000 0000000000003257   
0601BSA0N       20190101018300100000100000 0000000000003258   
0601BSA0N       20190101018400100000100000 0000000000003258   
0601BSA0N       20190101018500100000100000 0000000000003259   
0601BSA0N       20190101018600100000100000 0000000000003259   
0601BSA0N       20190101018700100000100000 0000000000003259   
0601BSA0N       20190101018800100000100000 0000000000003260   
0601BSA0N       20190101018900100000100000 0000000000003260   
0601BSA0N       20190101019000100000100000 0000000000003261   
0601BSA0N       20190101019100100000100000 0000000000003261   
0601BSA0N       20190101019200100000100000 0000000000003261   
0601BSA0N       20190101019300100000100000 0000000000003262   
0601BSA0N       20190101019400100000100000 0000000000003262   
0601BSA0N       20190101019500100000100000 0000000000003262   
0601BSA0N       20190101019600100000100000 0000000000003263   
0601BSA0N       20190101019700100000100000 0000000000003263   
0601BSA0N       20190101019800100000100000 0000000000003263   
0601BSA0N       20190101019900100000100000 0000000000003264   
0601BSA0N       20190101020000100001000000 0000000000003266   
0601BSA0N       20190101021000100001000000 0000000000003269   
0601BSA0N       20190101022000100001000000 0000000000003272   
0601BSA0N       20190101023000100001000000 0000000000003274   
0601BSA0N       20190101024000100001000000 0000000000003277   
0601BSA0N       20190101025000100001000000 0000000000003279   
0601BSA0N       20190101026000100001000000 0000000000003281   
0601BSA0N       20190101027000100001000000 0000000000003283   
0601BSA0N       20190101028000100001000000 0000000000003285   
0601BSA0N       20190101029000100001000000 0000000000003286   
0601BSA0N       20190101030000100001000000 0000000000003288   
0601BSA0N       20190101031000100001000000 0000000000003289   
0601BSA0N       20190101032000100001000000 0000000000003290   
0601BSA0N       20190101033000100001000000 0000000000003292   
0601BSA0N       20190101034000100001000000 0000000000003293   
0601BSA0N       20190101035000100001000000 0000000000003294   
0601BSA0N       20190101036000100001000000 0000000000003295   
0601BSA0N       20190101037000100001000000 0000000000003296   
0601BSA0N       20190101038000100001000000 0000000000003297   
0601BSA0N       20190101039000100001000000 0000000000003298   
0601BSA0N       20190101040000100001000000 0000000000003299   
0601BSA0N       20190101041000100001000000 0000000000003300   
0601BSA0N       20190101042000100001000000 0000000000003300   
0601BSA0N       20190101043000100001000000 0000000000003301   
0601BSA0N       20190101044000100001000000 0000000000003302   
0601BSA0N       20190101045000100001000000 0000000000003303   
0601BSA0N       20190101046000100001000000 0000000000003303   
0601BSA0N       20190101047000100001000000 0000000000003304   
0601BSA0N       20190101048000100001000000 0000000000003304   
0601BSA0N       20190101049000100001000000 0000000000003305   
0601BSA0N       20190101050000100001000000 0000000000003306   
0601BSA0N       20190101051000100001000000 0000000000003306   
0601BSA0N       20190101052000100001000000 0000000000003307   
0601BSA0N       20190101053000100001000000 0000000000003307   
0601BSA0N       20190101054000100001000000 0000000000003308   
0601BSA0N       20190101055000100001000000 0000000000003308   
0601BSA0N       20190101056000100001000000 0000000000003308   
0601BSA0N       20190101057000100001000000 0000000000003309   
0601BSA0N       20190101058000100001000000 0000000000003309   
0601BSA0N       20190101059000100001000000 0000000000003310   
0601BSA0N       20190101060000100010000000 0000000000003312   
0601BSA0N       20190101070000100010000000 0000000000003314   
0601BSA0N       20190101080000100010000000 0000000000003317   
0601BSA0N       20190101090000100010000000 0000000000003318   
0601BSA0N       20190101100000100010000000 0000000000003320   
0601BSA1N       20190101000000100000110000 0100000000000000   
0601BSA1N       20190101000110100000010000 0100000000000000   
0601BSA1N       20190101000120100000010000 0100000000000000   
0601BSA1N       20190101000130100000010000 0100000000000000   
0601BSA1N       20190101000140100000010000 0100000000000000   
0601BSA1N       20190101000150100000010000 0100000000000000   
0601BSA1N       20190101000160100000010000 0100000000000000   
0601BSA1N       20190101000170100000010000 0100000000000000   
0601BSA1N       20190101000180100000010000 0100000000000000   
0601BSA1N       20190101000190100000010000 0100000000000000   
0601BSA1N       20190101000200100000010000 0100000000000000   
0601BSA1N       20190101000210100000010000 0100000000000000   
0601BSA1N       20190101000220100000010000 0100000000000000   
0601BSA1N       20190101000230100000010000 0100000000000000   
0601BSA1N       20190101000240100000010000 0100000000000000   
0601BSA1N       20190101000250100000010000 0100000000000000   
0601BSA1N       20190101000260100000010000 0100000000000000   
0601BSA1N       20190101000270100000010000 0100000000000000   
0601BSA1N       20190101000280100000010000 0100000000000002   
0601BSA1N       20190101000290100000010000 0100000000000005   
0601BSA1N       20190101000300100000010000 0100000000000007   
0601BSA1N       20190101000310100000010000 0100000000000043   
0601BSA1N       20190101000320100000010000 0100000000000106   
0601BSA1N       20190101000330100000010000 0100000000000159   
0601BSA1N       20190101000340100000010000 0100000000000215   
0601BSA1N       20190101000350100000010000 0100000000000263   
0601BSA1N       20190101000360100000010000 0100000000000307   
0601BSA1N       20190101000370100000010000 0100000000000355   
0601BSA1N       20190101000380100000010000 0100000000000395   
0601BSA1N       20190101000390100000010000 0100000000000438   
0601BSA1N       20190101000400100000010000 0100000000000474   
0601BSA1N       20190101000410100000010000 0100000000000512   
0601BSA1N       20190101000420100000010000 0100000000000545   
0601BSA1N       20190101000430100000010000 0100000000000580   
0601BSA1N       20190101000440100000010000 0100000000000610   
0601BSA1N       20190101000450100000010000 0100000000000638   
0601BSA1N       20190101000460100000010000 0100000000000670   
0601BSA1N       20190101000470100000010000 0100000000000696   
0601BSA1N       20190101000480100000010000 0100000000000725   
0601BSA1N       20190101000490100000010000 0100000000000748   
0601BSA1N       20190101000500100000010000 0100000000000775   
0601BSA1N       20190101000510100000010000 0100000000000797   
0601BSA1N       20190101000520100000010000 0100000000000818   
0601BSA1N       20190101000530100000010000 0100000000000842   
0601BSA1N       20190101000540100000010000 0100000000000863   
