00AG               20181002                                                                                   
0601AGA1N       20190101001450100000050000 0100000000001680   
0601AGA1N       20190101001500100000050000 0100000000001720   
0601AGA1N       20190101001550100000050000 0100000000001760   
0601AGA1N       20190101001600100000050000 0100000000001790   
0601AGA1N       20190101001650100000050000 0100000000001830   
0601AGA1N       20190101001700100000050000 0100000000001860   
0601AGA1N       20190101001750100000050000 0100000000001890   
0601AGA1N       20190101001800100000050000 0100000000001920   
0601AGA1N       20190101001850100000050000 0100000000001950   
0601AGA1N       20190101001900100000050000 0100000000001980   
0601AGA1N       20190101001950100000050000 0100000000002010   
0601AGA1N       20190101002000100000050000 0100000000002040   
0601AGA1N       20190101002050100000050000 0100000000002070   
0601AGA1N       20190101002100100000050000 0100000000002100   
0601AGA1N       20190101002150100000050000 0100000000002120   
0601AGA1N       20190101002200100000050000 0100000000002150   
0601AGA1N       20190101002250100000050000 0100000000002170   
0601AGA1N       20190101002300100000050000 0100000000002190   
0601AGA1N       20190101002350100000050000 0100000000002210   
0601AGA1N       20190101002400100000050000 0100000000002230   
0601AGA1N       20190101002450100000050000 0100000000002250   
0601AGA1N       20190101002500100000050000 0100000000002270   
0601AGA1N       20190101002550100000050000 0100000000002290   
0601AGA1N       20190101002600100000050000 0100000000002300   
0601AGA1N       20190101002650100000050000 0100000000002320   
0601AGA1N       20190101002700100000050000 0100000000002340   
0601AGA1N       20190101002750100000050000 0100000000002350   
0601AGA1N       20190101002800100000050000 0100000000002370   
0601AGA1N       20190101002850100000050000 0100000000002380   
0601AGA1N       20190101002900100000050000 0100000000002400   
0601AGA1N       20190101002950100000050000 0100000000002410   
0601AGA1N       20190101003000100000500000 0100000000002470   
0601AGA1N       20190101003500100000500000 0100000000002580   
0601AGA1N       20190101004000100000500000 0100000000002660   
0601AGA1N       20190101004500100000500000 0100000000002730   
0601AGA1N       20190101005000100000500000 0100000000002780   
0601AGA1N       20190101005500100000500000 0100000000002830   
0601AGA1N       20190101006000100000500000 0100000000002860   
0601AGA1N       20190101006500100000500000 0100000000002890   
0601AGA1N       20190101007000100000500000 0100000000002920   
0601AGA1N       20190101007500100000500000 0100000000002940   
0601AGA1N       20190101008000100000500000 0100000000002950   
0601AGA1N       20190101008500100000500000 0100000000002960   
0601AGA1N       20190101009000100000500000 0100000000002970   
0601AGA1N       20190101009500100000500000 0100000000002980   
0601AGA2N       20190101000000100000025000 0200000020000000   
0601AGA2N       20190101000025100000005000 0200000020000000   
0601AGA2N       20190101000030100000005000 0200000020000000   
0601AGA2N       20190101000035100000005000 0200000020000000   
0601AGA2N       20190101000040100000005000 0200000020000000   
0601AGA2N       20190101000045100000005000 0200000020000000   
0601AGA2N       20190101000050100000005000 0200000020000000   
0601AGA2N       20190101000055100000005000 0200000020000000   
0601AGA2N       20190101000060100000005000 0200000020000000   
0601AGA2N       20190101000065100000005000 0200000020000000   
0601AGA2N       20190101000070100000005000 0200000020000000   
0601AGA2N       20190101000075100000005000 0200000020000000   
0601AGA2N       20190101000080100000005000 0200000020000000   
0601AGA2N       20190101000085100000005000 0200000020000000   
0601AGA2N       20190101000090100000005000 0200000020000000   
0601AGA2N       20190101000095100000005000 0200000020000000   
0601AGA2N       20190101000100100000005000 0200000020000000   
0601AGA2N       20190101000105100000005000 0200000020000000   
0601AGA2N       20190101000110100000005000 0200000020000000   
0601AGA2N       20190101000115100000005000 0200000020000000   
0601AGA2N       20190101000120100000005000 0200000020000000   
0601AGA2N       20190101000125100000005000 0200000020000000   
0601AGA2N       20190101000130100000005000 0200000020000000   
0601AGA2N       20190101000135100000005000 0200000020000000   
0601AGA2N       20190101000140100000005000 0200000020000000   
0601AGA2N       20190101000145100000005000 0200000020000000   
0601AGA2N       20190101000150100000005000 0200000020000000   
0601AGA2N       20190101000155100000005000 0200000020000000   
0601AGA2N       20190101000160100000005000 0200000020000000   
0601AGA2N       20190101000165100000005000 0200000020000000   
0601AGA2N       20190101000170100000005000 0200000020000000   
0601AGA2N       20190101000175100000005000 0200000020000000   
0601AGA2N       20190101000180100000005000 0200000020000000   
0601AGA2N       20190101000185100000005000 0200000020000000   
0601AGA2N       20190101000190100000005000 0200000020000000   
0601AGA2N       20190101000195100000005000 0200000020000000   
