00GL               20251204                                                                                   
0601GLA0N       20260101002370100000005000 0000000104002132   
0601GLA0N       20260101002375100000005000 0000000104002134   
0601GLA0N       20260101002380100000005000 0000000104002136   
0601GLA0N       20260101002385100000005000 0000000104002137   
0601GLA0N       20260101002390100000005000 0000000104002140   
0601GLA0N       20260101002395100000005000 0000000104002141   
0601GLA0N       20260101002400100000005000 0000000104002143   
0601GLA0N       20260101002405100000005000 0000000104002145   
0601GLA0N       20260101002410100000005000 0000000104002147   
0601GLA0N       20260101002415100000005000 0000000104002149   
0601GLA0N       20260101002420100000005000 0000000104002150   
0601GLA0N       20260101002425100000005000 0000000104002153   
0601GLA0N       20260101002430100000005000 0000000104002155   
0601GLA0N       20260101002435100000005000 0000000104002156   
0601GLA0N       20260101002440100000005000 0000000104002158   
0601GLA0N       20260101002445100000005000 0000000104002160   
0601GLA0N       20260101002450100000005000 0000000104002161   
0601GLA0N       20260101002455100000005000 0000000104002163   
0601GLA0N       20260101002460100000005000 0000000104002166   
0601GLA0N       20260101002465100000005000 0000000104002167   
0601GLA0N       20260101002470100000005000 0000000104002168   
0601GLA0N       20260101002475100000005000 0000000104002171   
0601GLA0N       20260101002480100000005000 0000000104002172   
0601GLA0N       20260101002485100000005000 0000000104002174   
0601GLA0N       20260101002490100000005000 0000000104002175   
0601GLA0N       20260101002495100000005000 0000000104002178   
0601GLA0N       20260101002500100000005000 0000000104002179   
0601GLA0N       20260101002505100000005000 0000000104002181   
0601GLA0N       20260101002510100000005000 0000000104002183   
0601GLA0N       20260101002515100000005000 0000000104002185   
0601GLA0N       20260101002520100000005000 0000000104002186   
0601GLA0N       20260101002525100000005000 0000000104002187   
0601GLA0N       20260101002530100000005000 0000000104002190   
0601GLA0N       20260101002535100000005000 0000000104002191   
0601GLA0N       20260101002540100000005000 0000000104002192   
0601GLA0N       20260101002545100000005000 0000000104002195   
0601GLA0N       20260101002550100000005000 0000000104002196   
0601GLA0N       20260101002555100000005000 0000000104002197   
0601GLA0N       20260101002560100000005000 0000000104002200   
0601GLA0N       20260101002565100000005000 0000000104002201   
0601GLA0N       20260101002570100000005000 0000000104002203   
0601GLA0N       20260101002575100000005000 0000000104002204   
0601GLA0N       20260101002580100000005000 0000000104002207   
0601GLA0N       20260101002585100000005000 0000000104002209   
0601GLA0N       20260101002590100000005000 0000000104002210   
0601GLA0N       20260101002595100000005000 0000000104002213   
0601GLA0N       20260101002600100000005000 0000000104002214   
0601GLA0N       20260101002605100000005000 0000000104002216   
