00TG               20151204                                                                                   
0601TGA0N       20160101000940100000005000 0000014460001534   
0601TGA0N       20160101000945100000005000 0000014580001539   
0601TGA0N       20160101000950100000005000 0000014700001543   
0601TGA0N       20160101000955100000005000 0000014820001548   
0601TGA0N       20160101000960100000005000 0000014950001553   
0601TGA0N       20160101000965100000005000 0000015070001558   
0601TGA0N       20160101000970100000005000 0000015190001562   
0601TGA0N       20160101000975100000005000 0000015310001566   
0601TGA0N       20160101000980100000005000 0000015430001570   
0601TGA0N       20160101000985100000005000 0000015550001575   
0601TGA0N       20160101000990100000005000 0000015670001579   
0601TGA0N       20160101000995100000005000 0000015790001583   
0601TGA0N       20160101001000100000005000 0000015920001588   
0601TGA0N       20160101001005100000005000 0000016040001592   
0601TGA0N       20160101001010100000005000 0000016160001596   
0601TGA0N       20160101001015100000005000 0000016300001602   
0601TGA0N       20160101001020100000005000 0000016430001607   
0601TGA0N       20160101001025100000005000 0000016550001611   
0601TGA0N       20160101001030100000005000 0000016670001615   
0601TGA0N       20160101001035100000005000 0000016790001618   
0601TGA0N       20160101001040100000005000 0000016910001622   
0601TGA0N       20160101001045100000005000 0000017030001626   
0601TGA0N       20160101001050100000005000 0000017150001629   
0601TGA0N       20160101001055100000005000 0000017270001633   
0601TGA0N       20160101001060100000005000 0000017400001638   
0601TGA0N       20160101001065100000005000 0000017520001641   
0601TGA0N       20160101001070100000005000 0000017640001645   
0601TGA0N       20160101001075100000005000 0000017780001650   
0601TGA0N       20160101001080100000005000 0000017900001654   
0601TGA0N       20160101001085100000005000 0000018030001658   
0601TGA0N       20160101001090100000005000 0000018160001662   
0601TGA0N       20160101001095100000005000 0000018290001667   
0601TGA0N       20160101001100100000005000 0000018420001671   
0601TGA0N       20160101001105100000005000 0000018580001678   
0601TGA0N       20160101001110100000005000 0000018710001682   
0601TGA0N       20160101001115100000005000 0000018840001686   
0601TGA0N       20160101001120100000005000 0000018970001690   
0601TGA0N       20160101001125100000005000 0000019130001697   
0601TGA0N       20160101001130100000005000 0000019260001701   
0601TGA0N       20160101001135100000005000 0000019390001705   
0601TGA0N       20160101001140100000005000 0000019550001711   
0601TGA0N       20160101001145100000005000 0000019680001715   
0601TGA0N       20160101001150100000005000 0000019810001719   
0601TGA0N       20160101001155100000005000 0000019960001724   
0601TGA0N       20160101001160100000005000 0000020090001728   
0601TGA0N       20160101001165100000005000 0000020220001732   
0601TGA0N       20160101001170100000005000 0000020380001738   
0601TGA0N       20160101001175100000005000 0000020510001742   
0601TGA0N       20160101001180100000005000 0000020640001745   
0601TGA0N       20160101001185100000005000 0000020800001752   
0601TGA0N       20160101001190100000005000 0000020930001755   
0601TGA0N       20160101001195100000005000 0000021060001759   
0601TGA0N       20160101001200100000005000 0000021220001765   
0601TGA0N       20160101001205100000005000 0000021350001768   
0601TGA0N       20160101001210100000005000 0000021480001772   
0601TGA0N       20160101001215100000005000 0000021630001777   
0601TGA0N       20160101001220100000005000 0000021760001780   
0601TGA0N       20160101001225100000005000 0000021890001783   
0601TGA0N       20160101001230100000005000 0000022050001789   
0601TGA0N       20160101001235100000005000 0000022180001792   
0601TGA0N       20160101001240100000005000 0000022310001796   
0601TGA0N       20160101001245100000005000 0000022470001801   
0601TGA0N       20160101001250100000005000 0000022600001804   
0601TGA0N       20160101001255100000005000 0000022730001808   
0601TGA0N       20160101001260100000005000 0000022880001812   
0601TGA0N       20160101001265100000005000 0000023020001816   
0601TGA0N       20160101001270100000005000 0000023150001819   
0601TGA0N       20160101001275100000005000 0000023300001824   
0601TGA0N       20160101001280100000005000 0000023430001827   
0601TGA0N       20160101001285100000005000 0000023560001830   
0601TGA0N       20160101001290100000005000 0000023720001835   
0601TGA0N       20160101001295100000005000 0000023850001838   
0601TGA0N       20160101001300100000005000 0000023980001841   
0601TGA0N       20160101001305100000005000 0000024140001846   
0601TGA0N       20160101001310100000005000 0000024270001849   
0601TGA0N       20160101001315100000005000 0000024400001852   
0601TGA0N       20160101001320100000005000 0000024550001856   
0601TGA0N       20160101001325100000005000 0000024680001859   
0601TGA0N       20160101001330100000005000 0000024810001862   
0601TGA0N       20160101001335100000005000 0000024970001867   
0601TGA0N       20160101001340100000005000 0000025100001870   
0601TGA0N       20160101001345100000005000 0000025230001872   
0601TGA0N       20160101001350100000005000 0000025390001877   
0601TGA0N       20160101001355100000005000 0000025520001880   
0601TGA0N       20160101001360100000005000 0000025650001883   
0601TGA0N       20160101001365100000005000 0000025810001887   
0601TGA0N       20160101001370100000005000 0000025940001890   
0601TGA0N       20160101001375100000005000 0000026070001893   
0601TGA0N       20160101001380100000005000 0000026240001898   
0601TGA0N       20160101001385100000005000 0000026380001901   
0601TGA0N       20160101001390100000005000 0000026520001904   
0601TGA0N       20160101001395100000005000 0000026680001909   
0601TGA0N       20160101001400100000005000 0000026820001912   
0601TGA0N       20160101001405100000005000 0000026960001915   
0601TGA0N       20160101001410100000005000 0000027130001921   
0601TGA0N       20160101001415100000005000 0000027270001924   
0601TGA0N       20160101001420100000005000 0000027410001927   
0601TGA0N       20160101001425100000005000 0000027580001932   
0601TGA0N       20160101001430100000005000 0000027720001935   
0601TGA0N       20160101001435100000005000 0000027860001938   
0601TGA0N       20160101001440100000005000 0000028020001942   
0601TGA0N       20160101001445100000005000 0000028160001945   
0601TGA0N       20160101001450100000005000 0000028300001948   
0601TGA0N       20160101001455100000005000 0000028470001953   
0601TGA0N       20160101001460100000005000 0000028610001956   
0601TGA0N       20160101001465100000005000 0000028750001959   
0601TGA0N       20160101001470100000005000 0000028920001964   
0601TGA0N       20160101001475100000005000 0000029060001967   
0601TGA0N       20160101001480100000005000 0000029200001970   
0601TGA0N       20160101001485100000005000 0000029360001974   
0601TGA0N       20160101001490100000005000 0000029500001977   
0601TGA0N       20160101001495100000005000 0000029640001979   
0601TGA0N       20160101001500100000005000 0000029810001984   
0601TGA0N       20160101001505100000005000 0000029950001987   
0601TGA0N       20160101001510100000005000 0000030090001989   
0601TGA0N       20160101001515100000005000 0000030260001994   
0601TGA0N       20160101001520100000005000 0000030400001997   
0601TGA0N       20160101001525100000005000 0000030540001999   
0601TGA0N       20160101001530100000005000 0000030700002003   
0601TGA0N       20160101001535100000005000 0000030850002007   
0601TGA0N       20160101001540100000005000 0000031000002010   
0601TGA0N       20160101001545100000005000 0000031170002014   
0601TGA0N       20160101001550100000005000 0000031320002017   
0601TGA0N       20160101001555100000005000 0000031460002020   
0601TGA0N       20160101001560100000005000 0000031610002023   
0601TGA0N       20160101001565100000005000 0000031780002027   
0601TGA0N       20160101001570100000005000 0000031930002031   
0601TGA0N       20160101001575100000005000 0000032080002034   
0601TGA0N       20160101001580100000005000 0000032250002038   
0601TGA0N       20160101001585100000005000 0000032400002041   
0601TGA0N       20160101001590100000005000 0000032540002043   
0601TGA0N       20160101001595100000005000 0000032720002048   
0601TGA0N       20160101001600100000005000 0000032860002051   
0601TGA0N       20160101001605100000005000 0000033010002053   
0601TGA0N       20160101001610100000005000 0000033180002058   
0601TGA0N       20160101001615100000005000 0000033330002061   
0601TGA0N       20160101001620100000005000 0000033480002063   
0601TGA0N       20160101001625100000005000 0000033650002068   
0601TGA0N       20160101001630100000005000 0000033800002070   
0601TGA0N       20160101001635100000005000 0000033940002073   
0601TGA0N       20160101001640100000005000 0000034120002077   
0601TGA0N       20160101001645100000005000 0000034260002080   
0601TGA0N       20160101001650100000005000 0000034410002082   
0601TGA0N       20160101001655100000005000 0000034580002086   
0601TGA0N       20160101001660100000005000 0000034730002089   
0601TGA0N       20160101001665100000005000 0000034880002092   
0601TGA0N       20160101001670100000005000 0000035050002096   
0601TGA0N       20160101001675100000005000 0000035200002098   
0601TGA0N       20160101001680100000005000 0000035340002100   
0601TGA0N       20160101001685100000005000 0000035520002105   
0601TGA0N       20160101001690100000005000 0000035660002107   
0601TGA0N       20160101001695100000005000 0000035810002110   
0601TGA0N       20160101001700100000005000 0000035980002113   
0601TGA0N       20160101001705100000005000 0000036130002116   
0601TGA0N       20160101001710100000005000 0000036280002119   
0601TGA0N       20160101001715100000005000 0000036450002122   
0601TGA0N       20160101001720100000005000 0000036600002125   
0601TGA0N       20160101001725100000005000 0000036740002127   
0601TGA0N       20160101001730100000005000 0000036920002131   
0601TGA0N       20160101001735100000005000 0000037060002133   
0601TGA0N       20160101001740100000005000 0000037210002135   
0601TGA0N       20160101001745100000005000 0000037380002139   
0601TGA0N       20160101001750100000005000 0000037530002142   
0601TGA0N       20160101001755100000005000 0000037680002144   
0601TGA0N       20160101001760100000005000 0000037850002148   
0601TGA0N       20160101001765100000005000 0000038000002150   
0601TGA0N       20160101001770100000005000 0000038160002153   
0601TGA0N       20160101001775100000005000 0000038340002157   
0601TGA0N       20160101001780100000005000 0000038500002160   
0601TGA0N       20160101001785100000005000 0000038650002162   
0601TGA0N       20160101001790100000005000 0000038840002167   
0601TGA0N       20160101001795100000005000 0000039000002170   
0601TGA0N       20160101001800100000005000 0000039150002172   
0601TGA0N       20160101001805100000005000 0000039340002176   
